product,entry_open,sl,tp,rr,nc,R,sl_over_R,sl_usd,tp_net_usd,n,tp_n,sl_n,flat_n,wr_cond,flat_share,ev_trade,wr_h1,wr_h2,combine_pass,p10,p25,p50,p75,p90,mean,p_ge1_payout_1y,xfa_p_ge1_payout,xfa_avg_days,xfa_mean_payout,skipped
MGC,420,715,179,0.25,3,476.9999999999982,1.4989517819706557,2150.76,531.24,515.0,284.0,27.0,204.0,0.9131832797427653,0.39611650485436894,41.6283495145609,0.9821428571428571,0.8743718592964824,0.68331,3105.373949999974,6154.04756249987,10229.45962499985,15315.296273437361,20513.26566664101,11233.648697427463,1.0,0.93,17.59188,1543.9385783923528,
MGC,420,715,129,0.18,3,476.9999999999982,1.4989517819706557,2150.76,381.24,515.0,348.0,20.0,147.0,0.9456521739130435,0.2854368932038835,48.222524271842374,0.9863945578231292,0.918552036199095,0.74688,2745.5300999999436,5411.231999999879,9205.77149999985,13677.35598632797,18523.97033027318,10036.463497066894,1.0,0.96758,17.7632,1502.0959734149599,
M2K,510,154,154,1.0,28,307.00000000000273,0.5016286644951096,2190.16,2121.84,515.0,197.0,200.0,118.0,0.49622166246851385,0.229126213592233,-34.56776699029201,0.48186528497409326,0.5098039215686274,0.41862,11082.317399999947,16310.632500000022,23904.063000000053,33008.14940625014,42797.158875000285,25759.602730096973,0.99985,0.43944,10.50062,1876.6234846743819,
M2K,510,154,103,0.67,28,307.00000000000273,0.5016286644951096,2190.16,1407.84,515.0,265.0,179.0,71.0,0.5968468468468469,0.1378640776699029,-75.752233009702,0.5981308411214953,0.5956521739130435,0.39804,7582.251600000173,11698.785000000395,17310.384000000457,24360.816375000762,31900.869900000864,18801.037211235012,0.99995,0.53152,10.27474,1557.0731071893108,
M2K,510,154,66,0.43,28,307.00000000000273,0.5016286644951096,2190.16,889.84,515.0,351.0,124.0,40.0,0.7389473684210527,0.07766990291262135,45.137087378629076,0.7510729613733905,0.7272727272727273,0.52524,10427.495399999614,15469.982718749325,22221.676968749336,30125.223843749252,38658.70816171769,23602.422556628,1.0,0.7655,12.93834,2175.385361066339,
M2K,510,154,51,0.33,28,307.00000000000273,0.5016286644951096,2190.16,679.84,515.0,382.0,108.0,25.0,0.7795918367346939,0.04854368932038835,15.261359223288752,0.7860082304526749,0.7732793522267206,0.50246,6269.854499999583,10153.4461874995,15463.932749999396,21777.24740624935,28545.659493749037,16596.45695841056,1.0,0.81562,12.44662,1722.7407871799317,
M2K,510,154,38,0.25,28,307.00000000000273,0.5016286644951096,2190.16,497.84000000000003,515.0,405.0,93.0,17.0,0.8132530120481928,0.03300970873786408,-27.064854368916205,0.8089430894308943,0.8174603174603174,0.44681,1614.0600000003392,4190.586750000407,7819.182000000481,12287.192203125864,16976.99821289183,8692.6168625245,1.0,0.86206,11.32274,1120.6112459992846,
M2K,510,154,28,0.18,28,307.00000000000273,0.5016286644951096,2190.16,357.84000000000003,515.0,427.0,76.0,12.0,0.8489065606361829,0.02330097087378641,-43.647378640759385,0.844,0.8537549407114624,0.41607,-132.58979999978905,1790.3025000006005,4469.976000000419,7770.388500000803,11385.248175000981,5148.867125981994,0.99985,0.91586,11.61712,849.1070059014908,
M2K,510,230,230,1.0,19,307.00000000000273,0.7491856677524363,2208.18,2161.82,515.0,133.0,124.0,258.0,0.5175097276264592,0.5009708737864078,-11.798446601941889,0.4954954954954955,0.5342465753424658,0.4272,8847.967500000017,13451.522624999985,20327.624999999985,28570.85100000004,37999.86730312508,22104.809939655606,0.9999,0.49568,12.04444,1872.4084020439443,
M2K,510,230,154,0.67,19,307.00000000000273,0.7491856677524363,2208.18,1439.82,515.0,212.0,116.0,187.0,0.6463414634146342,0.36310679611650487,-41.5343689320354,0.6513157894736842,0.6420454545454546,0.4182,6706.534500000071,10629.317250000076,16358.419125000155,23258.281781250233,30699.749700000364,17773.036218366196,0.99995,0.56536,11.8781,1632.736766209873,
M2K,510,230,99,0.43,19,307.00000000000273,0.7491856677524363,2208.18,917.32,515.0,295.0,103.0,117.0,0.7412060301507538,0.22718446601941747,-47.381941747567666,0.745945945945946,0.7370892018779343,0.43276,4397.43600000015,7585.891312500323,12246.59250000023,17918.096062500284,24189.0505453129,13449.226195593852,1.0,0.69838,11.73082,1371.6523331412516,
M2K,510,230,76,0.33,19,307.00000000000273,0.7491856677524363,2208.18,698.82,515.0,343.0,87.0,85.0,0.7976744186046512,0.1650485436893204,0.9850485436835388,0.803921568627451,0.7920353982300885,0.50301,4859.529299999748,8346.488624999689,13200.751124999755,19113.203039062097,25488.423435937042,14355.349287274828,1.0,0.8079,12.76316,1544.9684293079015,
