sl_ticks,tp_ticks,rr,max_holding_bars,direction,nc,trades_per_day,wr_used_mid_bracket,wr_bracket_width,pass_rate_15d,blow_rate,avg_days_to_pass,combines_por_ano,costo_esperado_por_combine
40,12,0.3,30,always_short,50,2,0.7667,0.0209,0.6024,0.3976,3.95,38.43,81.34
40,12,0.3,30,always_short,40,2,0.7667,0.0209,0.6024,0.3976,3.95,38.43,81.34
50,15,0.3,45,alternate,30,2,0.766,0.0112,0.6008,0.3992,3.95,38.3,81.56
50,15,0.3,45,alternate,40,2,0.766,0.0112,0.6008,0.3992,3.95,38.3,81.56
40,15,0.375,30,alternate,50,1,0.7214,0.0181,0.7449,0.2551,4.9,38.28,65.78
50,15,0.3,30,always_long,50,2,0.7579,0.0116,0.6231,0.3769,4.11,38.19,78.64
40,12,0.3,100,alternate,40,2,0.7653,0.022,0.5989,0.4011,3.95,38.17,81.82
40,12,0.3,100,alternate,50,2,0.7653,0.022,0.5989,0.4011,3.95,38.17,81.82
40,12,0.3,130,alternate,40,2,0.7653,0.022,0.5989,0.4011,3.95,38.17,81.82
40,12,0.3,130,alternate,50,2,0.7653,0.022,0.5989,0.4011,3.95,38.17,81.82
40,12,0.3,66,alternate,40,2,0.7653,0.022,0.5986,0.4014,3.95,38.16,81.85
40,12,0.3,66,alternate,50,2,0.7653,0.022,0.5986,0.4014,3.95,38.16,81.85
40,12,0.3,45,alternate,50,2,0.7651,0.022,0.5981,0.4019,3.95,38.13,81.92
40,12,0.3,45,alternate,40,2,0.7651,0.022,0.5981,0.4019,3.95,38.13,81.92
50,15,0.3,30,always_short,40,2,0.7646,0.0109,0.5976,0.4024,3.96,38.07,81.99
50,15,0.3,30,always_short,30,2,0.7646,0.0109,0.5976,0.4024,3.96,38.07,81.99
40,15,0.375,66,always_long,50,1,0.7194,0.0189,0.74,0.26,4.91,37.99,66.22
40,15,0.375,130,always_long,50,1,0.7193,0.019,0.74,0.26,4.91,37.99,66.22
40,15,0.375,100,always_long,50,1,0.7194,0.019,0.74,0.26,4.91,37.99,66.22
40,15,0.375,45,always_long,50,1,0.7191,0.0189,0.7391,0.2609,4.91,37.94,66.29
50,20,0.4,130,always_short,40,1,0.7184,0.0089,0.7386,0.2614,4.91,37.91,66.34
50,20,0.4,100,always_short,40,1,0.7184,0.0089,0.7386,0.2614,4.91,37.91,66.34
50,20,0.4,66,always_short,40,1,0.7181,0.0089,0.7382,0.2617,4.91,37.89,66.37
40,15,0.375,30,always_long,50,1,0.7175,0.0188,0.7375,0.2625,4.91,37.83,66.44
40,12,0.3,30,alternate,50,2,0.7631,0.0219,0.5924,0.4076,3.96,37.73,82.72
40,12,0.3,30,alternate,40,2,0.7631,0.0219,0.5924,0.4076,3.96,37.73,82.72
50,20,0.4,45,always_short,40,1,0.7147,0.0089,0.7318,0.2682,4.92,37.49,66.96
50,15,0.3,100,always_long,40,2,0.7617,0.0116,0.5886,0.4114,3.96,37.47,83.24
50,15,0.3,100,always_long,30,2,0.7617,0.0116,0.5886,0.4114,3.96,37.47,83.24
50,15,0.3,66,always_long,40,2,0.7617,0.0116,0.5884,0.4116,3.96,37.44,83.28
50,15,0.3,66,always_long,30,2,0.7617,0.0116,0.5884,0.4116,3.96,37.44,83.28
50,15,0.3,130,always_long,30,2,0.7616,0.0116,0.5883,0.4118,3.96,37.43,83.3
